,MOLM13_6W,MOLM13_2W,MOLM13_VEN,MV4_11_6W,MV4_11_2W,MV4_11_VEN,OCI_6W,OCI_2W,OCI_VEN,IC50
MOLM13_2W_2,NA,1,1,NA,NA,NA,NA,NA,NA,525.1
MOLM13_2W_3,NA,1,1,NA,NA,NA,NA,NA,NA,835.1
MOLM13_6W_1,1,NA,1,NA,NA,NA,NA,NA,NA,2745
MOLM13_6W_2,1,NA,1,NA,NA,NA,NA,NA,NA,6774
MOLM13_6W_3,1,NA,1,NA,NA,NA,NA,NA,NA,3749
MOLM13_WT_3,0,0,0,NA,NA,NA,NA,NA,NA,34.2
MV4_11_2W_1,NA,NA,NA,NA,1,1,NA,NA,NA,662.5
MV4_11_2W_2,NA,NA,NA,NA,1,1,NA,NA,NA,705.7
MV4_11_2W_3,NA,NA,NA,NA,1,1,NA,NA,NA,606.3
MV4_11_6W_1,NA,NA,NA,1,NA,1,NA,NA,NA,3997
MV4_11_6W_2,NA,NA,NA,1,NA,1,NA,NA,NA,5865
MV4_11_6W_3,NA,NA,NA,1,NA,1,NA,NA,NA,3027
MV4_11_WT_1,NA,NA,NA,0,0,0,NA,NA,NA,28.47
MV4_11_WT_2,NA,NA,NA,0,0,0,NA,NA,NA,28.47
MV4_11_WT_3,NA,NA,NA,0,0,0,NA,NA,NA,28.47
OCI_2W_1,NA,NA,NA,NA,NA,NA,NA,1,1,265.5
OCI_2W_2,NA,NA,NA,NA,NA,NA,NA,1,1,55.04
OCI_2W_3,NA,NA,NA,NA,NA,NA,NA,1,1,93.82
OCI_6W_1,NA,NA,NA,NA,NA,NA,1,NA,1,5282
OCI_6W_2,NA,NA,NA,NA,NA,NA,1,NA,1,5464
OCI_WT_1,NA,NA,NA,NA,NA,NA,0,0,0,2.76
OCI_WT_2,NA,NA,NA,NA,NA,NA,0,0,0,2.76
OCI_WT_3,NA,NA,NA,NA,NA,NA,0,0,0,2.76
MOLM13_WT_1,0,0,0,NA,NA,NA,NA,NA,NA,34.2
MOLM13_WT_2,0,0,0,NA,NA,NA,NA,NA,NA,34.2
OCI_6W_3,NA,NA,NA,NA,NA,NA,1,NA,1,4132
